author,year,n_chars,loyalist_density100,control_density100,loyalist_entries
許南英,1884,857,0.099,0.000,quyuan
許南英,1885,537,0.000,0.372,
許南英,1886,1270,0.000,0.551,
許南英,1887,2826,0.257,0.212,koxinga;ningjing;wufei;shenguangwen;luchen;dingge;tianheng;nandu
許南英,1889,626,0.000,0.319,
許南英,1890,495,0.000,0.606,
許南英,1891,793,0.000,0.126,
許南英,1894,523,0.000,0.000,
許南英,1895,2842,0.127,0.106,shenbaoxu;suiyang;xinting;yimin
許南英,1896,1750,0.046,0.171,nandu
許南英,1897,2388,0.042,0.377,yiqi
許南英,1899,948,0.380,0.422,xinting;nandu;yimin;koxinga
許南英,1900,1027,0.263,0.195,wentianxiang;nandu;yimin
許南英,1901,2598,0.031,0.231,nandu
許南英,1903,2754,0.029,0.145,nandu
許南英,1905,776,0.110,0.387,quyuan
許南英,1907,720,0.389,0.278,tongtuo;xinting;yimin
許南英,1909,3609,0.098,0.166,koxinga;jingwei;quyuan;yimin
許南英,1910,2387,0.000,0.084,
許南英,1911,2209,0.038,0.226,quyuan
許南英,1912,8379,0.064,0.263,luchen;yashan;wentianxiang;zuti;nandu;yimin
許南英,1913,5675,0.112,0.176,tongtuo;luzhonglian;caiwei;quyuan;nandu;yimin;guming
許南英,1914,2198,0.075,0.182,quyuan;nandu
許南英,1915,2346,0.232,0.426,shuli;luchen;tianheng;jingwei;yuxin;yimin
許南英,1916,7837,0.140,0.332,koxinga;shuli;luchen;tianheng;wentianxiang;luzhonglian;zuti;yuxin;nandu;yimin;wufei;guming
許南英,1917,20625,0.048,0.155,koxinga;ningjing;shuli;dingge;caiwei;suwu;jingwei;nandu;yimin;wufei;guming
